	/a/	/i/	/e/	/u/	/o/	/ɛ/	outros	Total
Locutor 05	90 (21,5)	64 (15,3)	55 (13,2)	53 (12,7)	25 (6,0)	3 (0,7)	128 (30,6)	418 (100,0)
Locutor 11	60 (23,3)	32 (12,4)	17 (6,6)	24 (9,3)	19 (7,4)	13 (5,0)	93 (36,0)	258 (100,0)
Locutor 13	85 (26,9)	50 (15,8)	26 (8,2)	22 (7,0)	11 (3,5)	11 (3,5)	111 (35,1)	316 (100,0)
Locutor 14	73 (28,6)	26 (10,2)	12 (4,7)	28 (11,0)	14 (5,5)	12 (4,7)	90 (35,3)	255 (100,0)
Locutor 15	65 (23,5)	50 (18,1)	32 (11,6)	13 (4,7)	11 (4,0)	10 (3,6)	96 (34,7)	277 (100,0)
Locutor 16	94 (23,0)	54 (13,2)	32 (7,8)	28 (6,8)	24 (5,9)	20 (4,9)	157 (38,4)	409 (100,0)
Locutor 17	76 (21,5)	47 (13,3)	24 (6,8)	30 (8,5)	18 (5,1)	19 (5,4)	140 (39,5)	354 (100,0)
Locutor 18	35 (24,5)	21 (14,7)	20 (14,0)	13 (9,1)	2 (1,4)	1 (0,7)	51 (35,7)	143 (100,0)
Locutor 19	84 (24,1)	42 (12,0)	15 (4,3)	25 (7,2)	23 (6,6)	24 (6,9)	136 (39,0)	349 (100,0)
Locutor 20	102 (31,0)	44 (13,4)	39 (11,9)	18 (5,5)	23 (7,0)	22 (6,7)	81 (24,6)	329 (100,0)
Locutor 21	52 (22,8)	44 (19,3)	31 (13,6)	23 (10,1)	10 (4,4)	4 (1,8)	64 (28,1)	228 (100,0)
Locutor 22	72 (19,1)	64 (17,0)	67 (17,8)	32 (8,5)	23 (6,1)	12 (3,2)	107 (28,4)	377 (100,0)
Locutor 23	123 (24,0)	92 (18,0)	49 (9,6)	61 (11,9)	18 (3,5)	22 (4,3)	147 (28,7)	512 (100,0)
Locutor 24	76 (23,0)	36 (10,9)	48 (14,5)	32 (9,7)	23 (6,9)	21 (6,3)	95 (28,7)	331 (100,0)
Locutor 27	64 (24,4)	20 (7,6)	21 (8,0)	19 (7,3)	11 (4,2)	11 (4,2)	116 (44,3)	262 (100,0)
Locutor 28	46 (23,6)	24 (12,3)	12 (6,2)	18 (9,2)	11 (5,6)	16 (8,2)	68 (34,9)	195 (100,0)
Locutor 41	91 (25,2)	50 (13,9)	30 (8,3)	38 (10,5)	14 (3,9)	14 (3,9)	124 (34,3)	361 (100,0)
Locutor 45	47 (19,5)	40 (16,6)	23 (9,5)	34 (14,1)	22 (9,1)	7 (2,9)	68 (28,2)	241 (100,0)
Total	1335 (23,8)	800 (14,2)	553 (9,8)	511 (9,1)	302 (5,4)	242 (4,3)	1872 (33,3)	5615 (100,0)
