	ID	Locutor	Duração	F01m	F01v	F02m	F02v	F03m	F03v	F04m	F04v	Fdm	Fdv	Intensidade	F0m	F0v	SHRm	SHRv	CPPm	CPPv	H12m	H12v	H24m	H24v	H42km	H42kv	H2k5km	H2k5kv	tag	Posiçao	Fonetica	Fonologica	Ditongo	Palavra	Tonicidade	Precedente	Seguinte	Fechada	Silabas	Oral	LetraPre	LetraSeg	Sexo	Arquivo	CLASS_00	CLASS_01	CLASS_02	CLASS_03	CLASS_04	CLASS_05	CLASS_06	CLASS_07	CLASS_08	CLASS_09
0	0	5	-0.17990217209112594	-0.4387294113516617	0.16709623395922016	0.28753938381841404	-0.5871261731773557	0.9369470294294168	0.7230985103456009	0.05159660721634752	0.7551570072782002	0.20987617563978062	0.6590785331474445	0.05359247637826589	1.574788982799347	-0.6073832945359202	-0.9126619146742613	-0.8210412082554444	-0.7787664703708607	-0.535334815569183	0.7616156373900279	0.033032091079776796	0.2322645877539109	-0.009972096163185484	0.20498970976663966	-0.01739158276055922	-0.13888433664354902	0.013383904195999526	'eu-meu-1-T-0'	0	'eu'	'meʊ'	1	'meu'	'T'	'm'	'NA'	0	1	1	'm'	'na'	'M'	'Locutor_0005M_M1_S'	0	1	1	0	1	0	0	0	0	0
1	1	5	-0.542314266667262	-0.3833514381205473	0.8584346312789303	-0.2827222131294577	-0.1740662144898554	0.06591886579810552	1.3278152280360465	-0.39823690785815913	0.6283451894198209	-0.23190233638738297	0.4442901977899944	0.21759461681769313	-0.7187589286243502	0.7923846889559721	-0.9126619146742613	-0.8210412082554444	-0.3065469437450512	-0.03266198844189927	0.5851302814522453	-3.5916125494315243	0.5154030134862674	-0.011716409847589355	0.8881949643150447	-0.022606181525399945	-0.10596772990039433	0.01106341037595801	'e-é-1-T-0'	0	'e'	'ɛ'	0	'é'	'T'	'NA'	'NA'	0	1	1	'na'	'na'	'M'	'Locutor_0005M_M1_S'	0	0	0	0	0	0	0	0	0	0
2	2	5	-0.40815611598957674	2.9239992392368204	-0.3639530786188712	-0.23307687146501424	-0.39463112489282026	1.2145612411158038	0.986273269656206	0.8637041043467304	-0.028121592888532925	-0.2675434019874502	0.06404145625916936	1.5760632189894475	-0.8495058425286371	-0.7313845202526829	1.0711148705301328	-0.007745178643746074	-0.6889079408686232	0.15659947420723697	0.6279755426360084	0.02381892806359739	-0.7533178925929468	-0.05637288430828869	-0.8954407408555544	0.006278255431500998	-0.692878284860452	0.03191191498126536	'a-marcos-2-T-0'	0	'a'	'max'	0	'marcos'	'T'	'm'	'x'	1	2	1	'm'	'r'	'M'	'Locutor_0005M_M1_S'	0	1	1	0	1	0	0	0	1	0
3	3	5	-0.303638952682911	-0.46406435199464424	0.41383591078304777	0.10783216612725727	0.1744907499936626	1.7070008110323918	-0.3880513251858319	1.033664403064451	-0.9301386263228602	1.1391708824662832	-0.7596970570675409	-0.6003976117521447	-0.7215360262761438	-0.23952401888417335	-0.9126619146742613	-0.8210412082554444	-0.7719784052465538	-0.04050519398272421	0.8543757488790726	0.015452222693447265	0.26852647272084357	-0.009684798466973	-0.07098390942593312	-0.012631869762252789	-1.2407423400914677	-0.0382010833535892	'u-marcos-2-O-2'	1	'u'	'kʊs'	0	'marcos'	'O'	'k'	's'	1	2	1	'c'	's'	'M'	'Locutor_0005M_M1_S'	0	0	0	0	0	0	0	1	1	0
4	4	5	0.9850418408814379	0.7309502347881268	-0.2420482113440902	-0.4515034252677416	-0.05270064907562318	1.2819813983514137	-0.5829020396762707	0.7384279290308353	-0.4297401354170386	0.4225936427674953	-0.21635993583888186	1.5186114278319007	-0.3457702571231079	1.173582523633009	1.0660346472308655	-0.2139292063809187	-0.5715059922003847	0.9831024006090976	0.7593011709205911	0.06191277692178155	-1.4190968575132523	-0.031682809161015194	1.8104860176349227	-0.023274531821942456	-0.31550366406885605	0.014176590988371192	'o-rosa-2-T-0'	0	'o'	'xɔ'	0	'rosa'	'T'	'x'	'NA'	0	2	1	'r'	's'	'M'	'Locutor_0005M_M1_S'	0	0	0	1	0	0	0	0	0	0
5	5	5	0.08223140670725745	-0.6922434019939028	2.2415883055164745	0.7257483489541435	0.25252473422601074	0.7653249394942118	1.7297277119647976	1.159760000882961	0.6924653625069636	1.3413094005217336	0.40170087531773585	-1.5605551737367527	-1.5268813912012273	1.1089246616980732	-0.9126619146742613	-0.8210412082554444	-0.7009493700626336	-0.03904874228829141	0.5863318326762977	0.0008368558906051579	-0.7056273927363526	-0.0220223524919917	-1.4680166735359397	-0.031049482572194812	-1.0333970257906864	0.0022714847737898875	'a-rosa-2-O-2'	1	'a'	'za'	0	'rosa'	'O'	'z'	'NA'	0	2	1	's'	'na'	'M'	'Locutor_0005M_M1_S'	0	1	1	1	0	0	0	0	0	0
6	6	5	0.6490232626175015	-1.16987892660439	0.8121810235135077	0.6952258637317613	-0.44477856529495735	1.1827022855871454	-0.08883894104372402	0.7816307607214035	-0.5269058235760864	1.1629590732753257	-0.6346177088256473	-1.5075886266693066	-0.856516840186414	1.0150927071117208	-0.8847459364019677	3.625836598393138	-0.6298138090572809	-0.3733204914035524	1.0839157755012225	0.019737411856579512	0.5325515760641227	-0.01233183983370167	-0.40495537732465103	-0.011128835288397048	-1.0145041347094583	0.38144799601232326	'eu-eu-1-T-0'	0	'eu'	'eʊ'	1	'eu'	'T'	'NA'	'NA'	0	1	1	'na'	'na'	'M'	'Locutor_0005M_M1_S'	0	0	0	0	0	0	0	0	0	0
7	7	5	-0.38028008417859116	-0.1901370452794541	-0.7645875719317237	-0.10038601291913223	-0.7249802255789403	1.4806614274686338	-0.855463821199852	0.4520651423294038	-0.8145438538619916	0.4934879676154548	-0.7879699798772315	-0.721773941232356	-0.795928019462077	0.3890525731236575	-0.9126619146742613	-0.8210412082554444	-0.6309407688196671	-0.1636091844353361	0.991692488386912	0.011569142145900912	0.3720007242267474	-0.010583054805588061	0.7840016173086851	-0.020744698786540124	-0.45949577083037424	0.014013801428448873	'ou-sou-1-T-0'	0	'ou'	'soʊ'	1	'sou'	'T'	's'	'NA'	0	1	1	's'	'na'	'M'	'Locutor_0005M_M1_S'	0	0	1	1	0	0	0	0	0	0
8	8	5	-0.7392539202897477	-0.14557633595920985	-0.5998315571894364	0.14550801736134886	-0.5883539560973337	0.9104212537615025	0.04350572222956795	-0.4425216219122025	-0.176550846755531	-0.36093663505806123	-0.04013147778930355	-0.738245140691691	-0.8495058425286371	-0.7313845202526829	-0.03252016604084626	0.42956413279320804	-0.9362048086225552	-0.4453031041015519	0.5863318326762977	0.0008368558906051579	-0.7056273927363526	-0.0220223524919917	-1.4680166735359397	-0.031049482572194812	-1.0333970257906864	0.0022714847737898875	'u-natural-3-E-3'	1	'u'	'tu'	0	'natural'	'E'	't'	'NA'	0	3	1	't'	'r'	'M'	'Locutor_0005M_M1_S'	0	0	1	0	0	0	0	0	0	0
9	9	5	-0.44713789566255485	0.07417900952267155	0.28001072072823796	0.3705528637792557	-0.033607412270202586	0.13201810340728753	0.05230476324882009	-0.3164052334369224	-0.3288166013982278	-0.3237102661443618	-0.14274520234725865	-0.2702113868910386	-1.02369105948823	0.22166609423903488	-0.2670997148921899	0.633480677699968	-0.9432863411358057	-0.43654920466532854	0.22841368156773348	-0.008813546357641602	-0.28537455444343857	-0.008525103678620872	0.019612926098245317	-0.014336054503430617	-0.15345830044052536	0.016470944337568856	'au-natural-3-T-0'	2	'au'	'ɾaʊ'	1	'natural'	'T'	'ɾ'	'NA'	1	3	1	'r'	'na'	'M'	'Locutor_0005M_M1_S'	0	1	1	0	0	0	0	0	0	0
